,Major,Degree_Type,Early_Career_Pay,Mid-Career_Pay
507,Nuclear Medicine Technology,Bachelors,61700,79000
508,Apparel & Textile Manufacture,Bachelors,48300,78900
509,English Language & Literature,Bachelors,46400,78900
510,Urban Studies,Bachelors,51500,78900
511,Mass Communication,Bachelors,44800,78800
512,Forestry Management,Bachelors,48600,78700
513,Radio/Television & Film Production,Bachelors,45700,78700
514,Hospital Management,Bachelors,53200,78600
515,Human Resources Management (HRM),Bachelors,47900,78500
516,Marine Science,Bachelors,46100,78400
517,American Sign Language Interpreting,Bachelors,43100,78300
518,English & History,Bachelors,45700,78300
519,English Language,Bachelors,44600,78300
520,Cytotechnology,Bachelors,61900,78200
521,Geosciences,Bachelors,48700,78200
522,Hospital Administration,Bachelors,51200,78200
523,Film Production,Bachelors,44600,78100
524,Marine Biology,Bachelors,43300,78100
525,Zoology,Bachelors,42100,77900
526,Communication Design,Bachelors,51700,77800
527,Leadership,Bachelors,47200,77500
528,Music Technology,Bachelors,44800,77500
529,Musicology,Bachelors,40000,77500
530,Technical Writing,Bachelors,53300,77500
531,Agricultural Communication,Bachelors,44600,77400
532,Logistics Management,Bachelors,56300,77400
533,German Language & Literature,Bachelors,49400,77300
534,Administration,Bachelors,44600,77100
535,Apparel Merchandising,Bachelors,47600,77100
536,Computer Aided Drafting & Design (CADD),Bachelors,49100,77100
537,Organizational Leadership & Supervision,Bachelors,49600,77100
538,Printing Technology,Bachelors,46200,77100
539,Spanish Language,Bachelors,47700,77100
540,Multimedia,Bachelors,44700,77000
541,Spanish Language Teacher Education,Bachelors,45500,76900
542,Public Administration,Bachelors,46700,76900
543,Human Nutrition,Bachelors,48600,76900
544,Audio Engineering,Bachelors,48300,76800
545,Graphics Technology & Management,Bachelors,39500,76800
546,Physical Anthropology,Bachelors,52900,76800
547,Organizational Leadership,Bachelors,50500,76700
548,Environmental Health Science,Bachelors,53800,76600
549,Health Sciences,Bachelors,44600,76600
550,Journalism & Electronic Media,Bachelors,45200,76500
551,Religious Studies,Bachelors,43900,76300
552,Art History,Bachelors,46600,76200
553,Radiologic Science,Bachelors,57600,76200
554,3D Animation,Bachelors,51800,76000
555,Culture Studies,Bachelors,48100,75900
556,Merchandising,Bachelors,53100,75900
557,Administrative Management,Bachelors,52700,75800
558,Human Resources (HR),Bachelors,47300,75800
